timestamp,H4-TI7737.PV,H4-AI7702.PV,H4-FIQ7201.PV,H4-FI7732.PV,H4-FIC7712.PV,PREDICTED_CR,PREDICTED_CR_DERIVATIVE,PREDICTED_THICKNESS
2025-10-07 06:50:00,47.20678445,8.720411907,50.210194,748.8300947,34.74483281,0.0,0.0,10.992
2025-10-07 07:00:00,47.21904014592971,8.71410822864503,50.479366587055566,749.5648881813395,34.76649477326742,-1.6680493654847074e-06,-1.6680493654847074e-06,10.991998331950635
2025-10-07 07:10:00,47.247909397689845,8.720544609469652,49.94872864256788,749.5020028112611,34.76393721008354,-1.665759816678113e-06,2.2895488065944868e-09,10.991996666190818
2025-10-07 07:20:00,47.315079170700486,8.708505396679175,50.5567869962319,748.7926109390799,34.76539991040675,-1.6667362301062863e-06,-9.764134281734187e-10,10.991994999454588
2025-10-07 07:30:00,47.32477261323996,8.690630167722036,49.96160750352237,750.5391983670413,34.76238266488215,-1.669338196108786e-06,-2.6019660024997214e-09,10.991993330116392
2025-10-07 07:40:00,47.33524505226936,8.735048796227906,50.192542292364216,749.920913263356,34.706590131613986,-1.6675724922567184e-06,1.7657038520676304e-09,10.9919916625439
2025-10-07 07:50:00,47.331893890821085,8.749501252923558,50.040264466288235,750.7014552927033,34.267931887068215,-1.663542500394952e-06,4.029991861766381e-09,10.9919899990014
2025-10-07 08:00:00,47.33208936563266,8.745476892055134,49.89998662094878,747.368411764452,35.34503239034796,-1.6665388174185805e-06,-2.996317023628508e-09,10.991988332462581
2025-10-07 08:10:00,47.33175856309196,8.743142423607544,50.39397959378521,750.1262530559518,34.67784954740735,-1.6628098776382376e-06,3.728939780342983e-09,10.991986669652704
2025-10-07 08:20:00,47.372826963730525,8.707850018978812,50.38624047601476,751.7863308807755,34.74456958571997,-1.6653115635629223e-06,-2.501685924684746e-09,10.99198500434114
2025-10-07 08:30:00,47.377865911682555,8.696026143611906,50.1106439412231,751.2987242461647,34.78333710770604,-1.6663879906009435e-06,-1.0764270380212076e-09,10.99198333795315
2025-10-07 08:40:00,47.42881697819733,8.691089242282093,50.371628867923576,748.4408524632612,34.690259802059394,-1.66913783362987e-06,-2.7498430289264475e-09,10.991981668815315
2025-10-07 08:50:00,47.46620355173,8.68117988185307,50.5414650567009,746.3988682733851,34.66736549116783,-1.670196803950757e-06,-1.0589703208871097e-09,10.991979998618511
2025-10-07 09:00:00,47.507254428732026,8.68013541900285,49.98011252022578,749.0860808663109,34.5664750416249,-1.6705988595648114e-06,-4.0205561405438466e-10,10.991978328019652
2025-10-07 09:10:00,47.55024374714606,8.672274225050508,50.41563924515504,746.2054523562705,34.600267982084446,-1.6729662720072175e-06,-2.3674124424060723e-09,10.99197665505338
2025-10-07 09:20:00,47.61467556522573,8.684248094561674,50.12187301863841,743.5821026147811,34.799336431215956,-1.6718051359032953e-06,1.161136103922191e-09,10.991974983248245
2025-10-07 09:30:00,47.682418971111474,8.679252450376831,50.140832461050955,746.9596285349998,34.69500664887868,-1.6692454556202224e-06,2.5596802830729532e-09,10.99197331400279
2025-10-07 09:40:00,47.617619034596565,8.664801217973872,50.02983240721806,747.3900800467403,34.695993229469195,-1.671907213935427e-06,-2.6617583152046467e-09,10.991971642095576
2025-10-07 09:50:00,47.57784691033259,8.653036187971528,49.78914763036017,742.2166907338935,34.739146710520814,-1.6756302019121218e-06,-3.7229879766947578e-09,10.991969966465374
2025-10-07 10:00:00,47.56576049010279,8.652835572208641,49.796787502372176,744.9403728111491,34.66082083882211,-1.6732130597132697e-06,2.4171421988521017e-09,10.991968293252315
2025-10-07 10:10:00,47.52710135277424,8.64842627623384,50.08594322693122,744.1709319104517,34.77373116658976,-1.673698894763932e-06,-4.858350506623166e-10,10.99196661955342
2025-10-07 10:20:00,47.445035856642065,8.64786706099779,50.071375615333544,743.3052801671089,34.87837103123091,-1.6697838597165192e-06,3.915035047412762e-09,10.99196494976956
2025-10-07 10:30:00,47.41054755405592,8.642146027250055,50.2667894143817,746.2908713242308,34.62318630741914,-1.6694469695727284e-06,3.368901437908404e-10,10.99196328032259
2025-10-07 10:40:00,47.40277465935869,8.6407174914127,49.78331982972597,743.7743667957218,34.6233701095931,-1.670578457809882e-06,-1.1314882371535108e-09,10.991961609744132
2025-10-07 10:50:00,47.3857917646487,8.619964957752806,50.283704229735285,744.4558337460506,34.75731256124926,-1.6711328266911764e-06,-5.543688812944814e-10,10.991959938611306
2025-10-07 11:00:00,47.3939462920532,8.624425773372726,50.21044634454011,743.3052538365905,34.67676740036429,-1.670235644569544e-06,8.971821216324587e-10,10.991958268375662
2025-10-07 11:10:00,47.374853589752696,8.62660664692879,49.99006189921473,743.1386203652561,34.653287616211315,-1.6696631428835227e-06,5.725016860212262e-10,10.991956598712518
2025-10-07 11:20:00,47.31263497563826,8.613949181090842,50.239083413682216,744.1073074347808,34.7510242047334,-1.6693449702035347e-06,3.181726799879702e-10,10.991954929367548
2025-10-07 11:30:00,47.31241403784177,8.604443586598428,50.42940675952969,745.8433961148684,34.72259841623066,-1.6701537851785758e-06,-8.088149750410705e-10,10.991953259213762
2025-10-07 11:40:00,47.33703248356396,8.621874844368904,49.67063940043979,743.9223161586599,34.67903568609327,-1.6711121658776144e-06,-9.583806990385861e-10,10.991951588101596
2025-10-07 11:50:00,47.33554552363033,8.618542351379437,50.208688729353675,748.6875742523579,34.66187431908886,-1.6704387990162139e-06,6.733668614005315e-10,10.991949917662797
2025-10-07 12:00:00,47.367248322889395,8.602043412353776,50.70596786468369,746.2350607078054,34.93975227987019,-1.676806492546693e-06,-6.367693530479231e-09,10.991948240856305
2025-10-07 12:10:00,47.40993987166391,8.628975886730586,50.216649082588255,743.7643834574613,35.407289105075826,-1.6677336877216291e-06,9.072804825063952e-09,10.991946573122616
2025-10-07 12:20:00,47.47155580228379,8.630673438669712,50.136772686895945,743.6603834312176,35.350843566974795,-1.6706751968312995e-06,-2.9415091096703516e-09,10.99194490244742
2025-10-07 12:30:00,47.659764115876655,8.650028540794665,49.78347431712514,745.403253505189,35.242608592747025,-1.6680505385465828e-06,2.624658284716641e-09,10.991943234396881
2025-10-07 12:40:00,47.68147277995279,8.633880182139546,49.99920945933534,743.5924425102847,35.19900741861009,-1.6688316003819016e-06,-7.810618353187679e-10,10.99194156556528
2025-10-07 12:50:00,47.678591887044846,8.63832336419273,50.40258154104886,743.5978197758476,35.24887623286074,-1.6663875405854134e-06,2.4440597964881827e-09,10.99193989917774
2025-10-07 13:00:00,47.59508701588123,8.634784060992034,50.07575380337167,747.7576127245441,35.368805853320886,-1.6747167181354936e-06,-8.329177550080191e-09,10.991938224461023
2025-10-07 13:10:00,47.546555658299624,8.6326113480561,50.045177978254905,741.7931841039334,35.203228537904224,-1.6755108219212924e-06,-7.941037857987684e-10,10.991936548950202
2025-10-07 13:20:00,47.57356274143555,8.617075212211907,49.79771094185518,745.9624041785368,35.370349186745685,-1.674974385605779e-06,5.364363155134919e-10,10.991934873975817
2025-10-07 13:30:00,47.55120206005158,8.663593583735201,49.869918631500816,740.8458900577276,35.4965137879073,-1.6827824982800065e-06,-7.80811267422758e-09,10.991933191193318
2025-10-07 13:40:00,47.48460750710995,8.673717984788528,50.38663367484937,746.6696239304067,35.29655068067344,-1.6643334542927838e-06,1.844904398722265e-08,10.991931526859863
2025-10-07 13:50:00,47.483707574891014,8.688019446267935,49.967719277251106,739.6998906482518,35.10113506177757,-1.6721276128415055e-06,-7.794158548721642e-09,10.99192985473225
2025-10-07 14:00:00,47.48455406964281,8.684338916625627,50.20148890573338,742.1736633647573,35.234059787206895,-1.667326698157897e-06,4.8009146836083925e-09,10.991928187405552
