timestamp,VCM1-PDI402.PV,VCM1-FIA421.PV,VCM1-TI400-6.PV,EE-VCM1.M-GA402A-P,EE-VCM1.M-GA402B-P,PREDICTED_CR,PREDICTED_CR_DERIVATIVE,PREDICTED_THICKNESS
2025-12-01 09:00:00,2.07688028216362,380.358316802978,127.098024177551,0.0,70.968096224467,0.0,0.0,15.1801699264236
2025-12-01 09:10:00,2.0788280365086695,379.3047254866416,127.40064051436201,0.0,71.6449966430664,-1.755292267764718e-05,-1.755292267764718e-05,15.180152373500922
2025-12-01 09:20:00,2.0652338267852732,379.0401152286601,128.03165436337778,0.0,71.1989974975586,-1.7668129775016062e-05,-1.1520709736888114e-07,15.180134705371147
2025-12-01 09:30:00,2.075165866696686,379.676353420942,128.9974518169804,0.0,71.28199768066406,-1.7538086463746187e-05,1.3004331126987456e-07,15.180117167284683
2025-12-01 09:40:00,2.0616825812237343,378.6320953923045,129.2929954531001,0.0,71.4990005493164,-1.7530897552045917e-05,7.188911700269898e-09,15.180099636387132
2025-12-01 09:50:00,2.079859018168524,379.4132996601208,129.79652022014488,0.0,71.27200317382812,-1.7605507753003337e-05,-7.46102009574198e-08,15.180082030879378
2025-12-01 10:00:00,2.0662659396960104,379.1815641274753,129.44730375477812,0.0,71.41000353215495,-1.7601758798469943e-05,3.748954533394416e-09,15.180064429120579
2025-12-01 10:10:00,2.075081897810348,379.2972130910105,128.6678771019467,0.0,70.99500285415562,-1.758740111648735e-05,1.4357681982594148e-08,15.180046841719463
2025-12-01 10:20:00,2.061841559480308,378.84574537557006,129.15746715409526,0.0,71.06300360132785,-1.7492715332804314e-05,9.468578368303457e-08,15.18002934900413
2025-12-01 10:30:00,2.0775560832821656,380.2188295101215,129.0374119677388,0.0,71.8769988065081,-1.756255377725793e-05,-6.98384444536148e-08,15.180011786450352
2025-12-01 10:40:00,2.0631858466291044,379.0188855185791,128.7439427984869,0.0,71.18418094660544,-1.7581638280493793e-05,-1.9084503235864542e-08,15.179994204812072
